Test 9
x, y, z
0.01457214, -0.87883, 0.1683655
0.01457214, -0.87883, 0.1683655
0.0227356, -0.9409027, 0.1877899
0.0227356, -0.9409027, 0.1877899
0.0227356, -0.9409027, 0.1877899
0.0276947, -0.7337036, 0.1959686
0.0276947, -0.7337036, 0.1959686
0.0276947, -0.7337036, 0.1959686
0.0276947, -0.7337036, 0.1959686
0.0276947, -0.7337036, 0.1959686
0.0276947, -0.7337036, 0.1959686
0.02891541, -0.5632782, 0.16716
0.02891541, -0.5632782, 0.16716
0.02891541, -0.5632782, 0.16716
0.02891541, -0.5632782, 0.16716
0.03259277, -0.1910553, 0.1993256
0.03259277, -0.1910553, 0.1993256
0.03259277, -0.1910553, 0.1993256
0.03259277, -0.1910553, 0.1993256
0.03259277, -0.1910553, 0.1993256
0.03259277, -0.1910553, 0.1993256
0.005172729, 0.2540588, 0.1336975

