Test 7
x, y, z
0.02388, -0.8620911, 0.1766357
0.02388, -0.8620911, 0.1766357
0.02388, -0.8620911, 0.1766357
0.02388, -0.8620911, 0.1766357
0.02388, -0.8620911, 0.1766357
0.0337677, -0.9084625, 0.1844025
0.0337677, -0.9084625, 0.1844025
0.0337677, -0.9084625, 0.1844025
0.0337677, -0.9084625, 0.1844025
0.0337677, -0.9084625, 0.1844025
0.0337677, -0.9084625, 0.1844025
0.0337677, -0.9084625, 0.1844025
0.0337677, -0.9084625, 0.1844025
0.0337677, -0.9084625, 0.1844025
0.0337677, -0.9084625, 0.1844025
0.0337677, -0.9084625, 0.1844025
0.0337677, -0.9084625, 0.1844025
0.02861023, -0.8177185, 0.1858826
0.02861023, -0.8177185, 0.1858826
0.02861023, -0.8177185, 0.1858826
0.02861023, -0.8177185, 0.1858826
0.02861023, -0.8177185, 0.1858826
0.02861023, -0.8177185, 0.1858826
0.02661133, -0.6671906, 0.1841431
0.02661133, -0.6671906, 0.1841431
0.02661133, -0.6671906, 0.1841431
0.02661133, -0.6671906, 0.1841431
0.02661133, -0.6671906, 0.1841431
0.02661133, -0.6671906, 0.1841431
0.02661133, -0.6671906, 0.1841431
0.02661133, -0.6671906, 0.1841431
0.02661133, -0.6671906, 0.1841431
0.02661133, -0.6671906, 0.1841431
0.02661133, -0.6671906, 0.1841431
0.02661133, -0.6671906, 0.1841431
0.02882385, -0.3639221, 0.2193298
0.02882385, -0.3639221, 0.2193298
0.02882385, -0.3639221, 0.2193298
0.02882385, -0.3639221, 0.2193298
0.02882385, -0.3639221, 0.2193298
0.02882385, -0.3639221, 0.2193298
0.0145874, 0.1018829, 0.1711426

