Test 3
x, y, z
0.01708984, -0.87146, 0.1505585
0.01708984, -0.87146, 0.1505585
0.01708984, -0.87146, 0.1505585
0.01708984, -0.87146, 0.1505585
0.01708984, -0.87146, 0.1505585
0.01753235, -1.001892, 0.1728821
0.01753235, -1.001892, 0.1728821
0.01753235, -1.001892, 0.1728821
0.01753235, -1.001892, 0.1728821
0.01753235, -1.001892, 0.1728821
0.01753235, -1.001892, 0.1728821
0.01728821, -0.8803558, 0.1568451
0.01728821, -0.8803558, 0.1568451
0.01728821, -0.8803558, 0.1568451
0.01728821, -0.8803558, 0.1568451
0.02220154, -0.7315826, 0.194458
0.02220154, -0.7315826, 0.194458
0.02220154, -0.7315826, 0.194458
0.02389526, -0.5641174, 0.1724243
0.02389526, -0.5641174, 0.1724243
0.02389526, -0.5641174, 0.1724243
0.02389526, -0.5641174, 0.1724243
0.02389526, -0.5641174, 0.1724243
0.02389526, -0.5641174, 0.1724243
0.03253174, -0.1847382, 0.1859283
0.03253174, -0.1847382, 0.1859283
0.03253174, -0.1847382, 0.1859283
0.03253174, -0.1847382, 0.1859283
0.03253174, -0.1847382, 0.1859283
0.03253174, -0.1847382, 0.1859283
0.01544189, 0.2130432, 0.1325989

Test 3
x, y, z

