Test 10
x, y, z
0.0151825, -0.8980255, 0.1885529
0.0151825, -0.8980255, 0.1885529
0.01512146, -0.8679047, 0.1933594
0.01512146, -0.8679047, 0.1933594
0.01512146, -0.8679047, 0.1933594
0.01512146, -0.8679047, 0.1933594
0.01512146, -0.8679047, 0.1933594
0.01512146, -0.8679047, 0.1933594
0.01512146, -0.8679047, 0.1933594
0.0131073, -0.6840057, 0.1712494
0.0131073, -0.6840057, 0.1712494
0.0131073, -0.6840057, 0.1712494
0.0188446, -0.4426117, 0.1788483
0.0188446, -0.4426117, 0.1788483
0.0188446, -0.4426117, 0.1788483
0.0188446, -0.4426117, 0.1788483
0.0188446, -0.4426117, 0.1788483
0.0188446, -0.4426117, 0.1788483
0.01985168, -0.00302124, 0.1825562
0.01985168, -0.00302124, 0.1825562
0.01985168, -0.00302124, 0.1825562
-0.0218811, 0.3603821, 0.1783295

