Test 4
x, y, z
0.007339478, -0.837738, 0.161087
0.007339478, -0.837738, 0.161087
0.01390076, -0.9867096, 0.1868286
0.01390076, -0.9867096, 0.1868286
0.01390076, -0.9867096, 0.1868286
0.01390076, -0.9867096, 0.1868286
0.01390076, -0.9867096, 0.1868286
0.01390076, -0.9867096, 0.1868286
0.01390076, -0.9867096, 0.1868286
0.01820374, -0.8101654, 0.1639709
0.01820374, -0.8101654, 0.1639709
0.01820374, -0.8101654, 0.1639709
0.02392578, -0.7002258, 0.1755524
0.02392578, -0.7002258, 0.1755524
0.02392578, -0.7002258, 0.1755524
0.02392578, -0.7002258, 0.1755524
0.02392578, -0.7002258, 0.1755524
0.02392578, -0.7002258, 0.1755524
0.02555847, -0.3579407, 0.1589203
0.02555847, -0.3579407, 0.1589203
0.02555847, -0.3579407, 0.1589203
0.02799988, 0.08616638, 0.1525269

