Test 6
x, y, z
0.02801514, -0.9361115, 0.04244995
0.02801514, -0.9361115, 0.04244995
0.02243042, -0.8974152, 0.187439
0.02243042, -0.8974152, 0.187439
0.02243042, -0.8974152, 0.187439
0.02243042, -0.8974152, 0.187439
0.02243042, -0.8974152, 0.187439
0.02243042, -0.8974152, 0.187439
0.01855469, -0.9564209, 0.2001343
0.01855469, -0.9564209, 0.2001343
0.01855469, -0.9564209, 0.2001343
0.01849365, -0.819046, 0.1810913
0.01849365, -0.819046, 0.1810913
0.01849365, -0.819046, 0.1810913
0.01849365, -0.819046, 0.1810913
0.01849365, -0.819046, 0.1810913
0.01849365, -0.819046, 0.1810913
0.01849365, -0.819046, 0.1810913
0.02503967, -0.68396, 0.1797333
0.02503967, -0.68396, 0.1797333
0.02503967, -0.68396, 0.1797333
0.02476501, -0.3343048, 0.1629486
0.02476501, -0.3343048, 0.1629486
0.02476501, -0.3343048, 0.1629486
0.02476501, -0.3343048, 0.1629486
0.02476501, -0.3343048, 0.1629486
0.02476501, -0.3343048, 0.1629486
0.02330017, 0.131073, 0.1553345

