Test 5
x, y, z
0.01525879, -0.8977814, 0.184967
0.01525879, -0.8977814, 0.184967
0.008102417, -0.953537, 0.1942596
0.008102417, -0.953537, 0.1942596
0.008102417, -0.953537, 0.1942596
0.008102417, -0.953537, 0.1942596
0.008102417, -0.953537, 0.1942596
0.008102417, -0.953537, 0.1942596
0.008102417, -0.953537, 0.1942596
0.005355835, -0.8319397, 0.1833038
0.005355835, -0.8319397, 0.1833038
0.005355835, -0.8319397, 0.1833038
0.01119995, -0.63797, 0.2182312
0.01119995, -0.63797, 0.2182312
0.01119995, -0.63797, 0.2182312
0.009307861, -0.3429718, 0.174942
0.009307861, -0.3429718, 0.174942
0.009307861, -0.3429718, 0.174942
0.009307861, -0.3429718, 0.174942
0.009307861, -0.3429718, 0.174942
0.009307861, -0.3429718, 0.174942
0.00819397, 0.1156616, 0.1628418

